record_type,spot_price,timestamp,instance_type,product_description,availability_zone
SPOTINSTANCEPRICE,1.3595,2023-01-01T00:01:27-0800,r6id.16xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.3595,2023-01-01T00:01:27-0800,r6id.16xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.3545,2023-01-01T00:01:27-0800,r6id.16xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.3545,2023-01-01T00:01:27-0800,r6id.16xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.2295,2023-01-01T00:01:27-0800,r6id.16xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,1.2295,2023-01-01T00:01:27-0800,r6id.16xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,2.174,2022-12-31T23:59:26-0800,g4ad.8xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,2.174,2022-12-31T23:59:26-0800,g4ad.8xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.832,2022-12-31T23:59:26-0800,g4ad.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.832,2022-12-31T23:59:26-0800,g4ad.8xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.827,2022-12-31T23:59:26-0800,g4ad.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.827,2022-12-31T23:59:26-0800,g4ad.8xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.702,2022-12-31T23:59:26-0800,g4ad.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.702,2022-12-31T23:59:26-0800,g4ad.8xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.1352,2022-12-31T23:55:41-0800,r5ad.xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.1312,2022-12-31T23:55:41-0800,r5ad.xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.0752,2022-12-31T23:55:41-0800,r5ad.xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.301,2022-12-31T23:55:35-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.271,2022-12-31T23:55:35-0800,r4.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.171,2022-12-31T23:55:35-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,4.1119,2022-12-31T23:55:29-0800,m5dn.16xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,4.1069,2022-12-31T23:55:29-0800,m5dn.16xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.9819,2022-12-31T23:55:29-0800,m5dn.16xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.9715,2022-12-31T23:55:27-0800,m5d.12xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.9415,2022-12-31T23:55:27-0800,m5d.12xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.8415,2022-12-31T23:55:27-0800,m5d.12xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,3.7364,2022-12-31T23:55:22-0800,c6a.metal,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.7314,2022-12-31T23:55:22-0800,c6a.metal,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.6064,2022-12-31T23:55:22-0800,c6a.metal,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.1302,2022-12-31T23:55:17-0800,c5n.xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.1262,2022-12-31T23:55:17-0800,c5n.xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.0702,2022-12-31T23:55:17-0800,c5n.xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,1.8905,2022-12-31T23:49:06-0800,m6i.24xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.8905,2022-12-31T23:49:06-0800,m6i.24xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.8855,2022-12-31T23:49:06-0800,m6i.24xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.8855,2022-12-31T23:49:06-0800,m6i.24xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.7605,2022-12-31T23:49:06-0800,m6i.24xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,1.7605,2022-12-31T23:49:06-0800,m6i.24xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,3.4601,2022-12-31T23:47:36-0800,g4dn.metal,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,3.4551,2022-12-31T23:47:36-0800,g4dn.metal,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,3.3301,2022-12-31T23:47:36-0800,g4dn.metal,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.7354,2022-12-31T23:47:19-0800,c5n.9xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.7304,2022-12-31T23:47:19-0800,c5n.9xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.6054,2022-12-31T23:47:19-0800,c5n.9xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,1.1133,2022-12-31T23:47:11-0800,r5n.4xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.1083,2022-12-31T23:47:11-0800,r5n.4xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.9833,2022-12-31T23:47:11-0800,r5n.4xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,1.8206,2022-12-31T23:47:10-0800,m5ad.24xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.8156,2022-12-31T23:47:10-0800,m5ad.24xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.6906,2022-12-31T23:47:10-0800,m5ad.24xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.8253,2022-12-31T23:47:04-0800,i2.2xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,0.8253,2022-12-31T23:47:04-0800,i2.2xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,0.4176,2022-12-31T23:47:04-0800,m5a.4xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.4126,2022-12-31T23:47:04-0800,m5a.4xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.2876,2022-12-31T23:47:04-0800,m5a.4xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.1298,2022-12-31T23:46:46-0800,m1.xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.1698,2022-12-31T23:46:46-0800,m1.xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.0698,2022-12-31T23:46:46-0800,m1.xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.7303,2022-12-31T23:46:43-0800,i2.2xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.7303,2022-12-31T23:46:43-0800,i2.2xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.7003,2022-12-31T23:46:43-0800,i2.2xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.7003,2022-12-31T23:46:43-0800,i2.2xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.6003,2022-12-31T23:46:43-0800,i2.2xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.6003,2022-12-31T23:46:43-0800,i2.2xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.269,2022-12-31T23:46:42-0800,c5a.2xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.264,2022-12-31T23:46:42-0800,c5a.2xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.139,2022-12-31T23:46:42-0800,c5a.2xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,6.1765,2022-12-31T23:46:37-0800,m6i.24xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,6.1765,2022-12-31T23:46:37-0800,m6i.24xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,6.1765,2022-12-31T23:46:37-0800,m6i.24xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,1.4635,2022-12-31T23:46:30-0800,r5d.16xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.4585,2022-12-31T23:46:30-0800,r5d.16xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.3335,2022-12-31T23:46:30-0800,r5d.16xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,4.0618,2022-12-31T23:44:59-0800,c6i.16xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,4.0618,2022-12-31T23:44:59-0800,c6i.16xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,4.0618,2022-12-31T23:44:59-0800,c6i.16xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,2.4773,2022-12-31T23:42:06-0800,m6id.metal,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,2.4773,2022-12-31T23:42:06-0800,m6id.metal,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,2.4723,2022-12-31T23:42:06-0800,m6id.metal,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,2.4723,2022-12-31T23:42:06-0800,m6id.metal,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,2.3473,2022-12-31T23:42:06-0800,m6id.metal,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,2.3473,2022-12-31T23:42:06-0800,m6id.metal,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.2505,2022-12-31T23:41:52-0800,m4.xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,0.2505,2022-12-31T23:41:52-0800,m4.xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.2505,2022-12-31T23:41:52-0800,m4.xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,0.8554,2022-12-31T23:41:39-0800,x1e.2xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.8554,2022-12-31T23:41:39-0800,x1e.2xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.8254,2022-12-31T23:41:39-0800,x1e.2xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.8254,2022-12-31T23:41:39-0800,x1e.2xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.7254,2022-12-31T23:41:39-0800,x1e.2xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.7254,2022-12-31T23:41:39-0800,x1e.2xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,1.0934,2022-12-31T23:41:38-0800,x1e.2xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,1.0934,2022-12-31T23:41:38-0800,x1e.2xlarge,Windows,ap-northeast-1c
